code,system
2376.00,readv2
G411.00,readv2
7J44111,readv2
N373500,readv2
N373z00,readv2
N374A00,readv2
N374B00,readv2
N374C00,readv2
N374D00,readv2
11620.0,med
12549.0,med
14790.0,med
22657.0,med
28717.0,med
3059.0,med
36682.0,med
3705.0,med
40041.0,med
42901.0,med
43192.0,med
4330.0,med
45232.0,med
45554.0,med
53874.0,med
56368.0,med
64218.0,med
67445.0,med
7136.0,med
714.0,med
72582.0,med
755.0,med
9567.0,med
N373.00,readv2
N373000,readv2
N373100,readv2
N373700,readv2
N373200,readv2
N373300,readv2
N373600,readv2
PE22.00,readv2
N374300,readv2
Nyu5300,readv2
Nyu5400,readv2
Nyu5500,readv2
PE23.00,readv2
PG18.11,readv2
M41,icd10
